pop,den,geometry,area
15,2.4,"POLYGON((21.056485075032 55.9128986910547, 21.0604784952617 55.9129941379056, 21.0603086545336 55.9152369990914, 21.0563150043827 55.9151415442371, 21.056485075032 55.9128986910547))",62500.0
3,0.48,"POLYGON((21.0563150043827 55.9151415442371, 21.0603086545336 55.9152369990914, 21.0601387896957 55.9174798591138, 21.0561449095911 55.9173843962552, 21.0563150043827 55.9151415442371))",62500.0
7,1.12,"POLYGON((21.0561449095911 55.9173843962552, 21.0601387896957 55.9174798591138, 21.0599689007434 55.9197227179728, 21.0559747906526 55.9196272471089, 21.0561449095911 55.9173843962552))",62500.0
74,11.84,"POLYGON((21.0559747906526 55.9196272471089, 21.0599689007434 55.9197227179728, 21.0597989876721 55.9219655756683, 21.0558046475625 55.9218700967982, 21.0559747906526 55.9196272471089))",62500.0
3,0.48,"POLYGON((21.0558046475625 55.9218700967982, 21.0597989876721 55.9219655756683, 21.0596290504769 55.9242084322003, 21.0556344803161 55.9241129453231, 21.0558046475625 55.9218700967982))",62500.0
3,0.48,"POLYGON((21.0977594690832 55.4128071133518, 21.1017024400416 55.4129006711244, 21.1015380837569 55.4151437985213, 21.0975948899661 55.4150502329567, 21.0977594690832 55.4128071133518))",62500.0
46,7.360000028749997,"POLYGON((21.0975948899661 55.4150502329567, 21.1015380837569 55.4151437985213, 21.1013737044093 55.4173869247647, 21.0974302877549 55.4172933514072, 21.0975948899661 55.4150502329567))",62499.9997558594
5,0.7999999968750003,"POLYGON((21.063531510945 55.8726224376694, 21.0675208221636 55.8727176114505, 21.0673516439519 55.8749605015462, 21.0633621033913 55.8748653197891, 21.063531510945 55.8726224376694))",62500.0002441406
3,0.48,"POLYGON((21.0633621033913 55.8748653197891, 21.0673516439519 55.8749605015462, 21.067182441747 55.8772033904802, 21.0631926718121 55.8771082007461, 21.0633621033913 55.8748653197891))",62500.0
6,0.9600000037499996,"POLYGON((21.0630232162027 55.8793510805404, 21.0670132155444 55.8794462782525, 21.0668439653393 55.8816891648629, 21.0628537365584 55.8815939591721, 21.0630232162027 55.8793510805404))",62499.9997558594
4,0.64,"POLYGON((21.0628537365584 55.8815939591721, 21.0668439653393 55.8816891648629, 21.0666746911271 55.8839320503115, 21.0626842328746 55.8838368366409, 21.0628537365584 55.8815939591721))",62500.0
13,2.0799999918750007,"POLYGON((21.0626842328746 55.8838368366409, 21.0666746911271 55.8839320503115, 21.0665053929031 55.8861749345983, 21.0625147051466 55.886079712947, 21.0626842328746 55.8838368366409))",62500.0002441406
14,2.240000008749999,"POLYGON((21.0621755775394 55.8905654620705, 21.0661667244011 55.8906606996858, 21.0659973541138 55.8929035804866, 21.0620059776508 55.8928083348879, 21.0621755775394 55.8905654620705))",62499.9997558594
3,0.48,"POLYGON((21.0620059776508 55.8928083348879, 21.0659973541138 55.8929035804866, 21.065827959796 55.8951464601254, 21.0618363536993 55.8950512065423, 21.0620059776508 55.8928083348879))",62500.0
61,9.759999961875003,"POLYGON((21.0618363536993 55.8950512065423, 21.065827959796 55.8951464601254, 21.0656585414431 55.897389338602, 21.0616667056802 55.8972940770337, 21.0618363536993 55.8950512065423))",62500.0002441406
5,0.8,"POLYGON((21.0616667056802 55.8972940770337, 21.0656585414431 55.897389338602, 21.0654890990503 55.8996322159165, 21.0614970335889 55.899536946362, 21.0616667056802 55.8972940770337))",62500.0
3,0.48,"POLYGON((21.0609878728347 55.9062655473683, 21.0649806275866 55.9063608408868, 21.064811088988 55.9086037135523, 21.0608181044076 55.9085084120441, 21.0609878728347 55.9062655473683))",62500.0
10,1.5999999937500007,"POLYGON((21.0608181044076 55.9085084120441, 21.064811088988 55.9086037135523, 21.0646415263261 55.9108465850555, 21.0606483118848 55.9107512755565, 21.0608181044076 55.9085084120441))",62500.0002441406
60,9.6,"POLYGON((21.0606483118848 55.9107512755565, 21.0646415263261 55.9108465850555, 21.0644719395964 55.9130894553964, 21.0604784952617 55.9129941379056, 21.0606483118848 55.9107512755565))",62500.0
37,5.92,"POLYGON((21.0604784952617 55.9129941379056, 21.0644719395964 55.9130894553964, 21.0643023287942 55.9153323245747, 21.0603086545336 55.9152369990914, 21.0604784952617 55.9129941379056))",62500.0
27,4.320000016874999,"POLYGON((21.0603086545336 55.9152369990914, 21.0643023287942 55.9153323245747, 21.0641326939147 55.9175751925907, 21.0601387896957 55.9174798591138, 21.0603086545336 55.9152369990914))",62499.9997558594
128,20.48,"POLYGON((21.0601387896957 55.9174798591138, 21.0641326939147 55.9175751925907, 21.0639630349534 55.9198180594441, 21.0599689007434 55.9197227179728, 21.0601387896957 55.9174798591138))",62500.0
103,16.479999935625006,"POLYGON((21.0599689007434 55.9197227179728, 21.0639630349534 55.9198180594441, 21.0637933519054 55.9220609251349, 21.0597989876721 55.9219655756683, 21.0599689007434 55.9197227179728))",62500.0002441406
78,12.48,"POLYGON((21.0597989876721 55.9219655756683, 21.0637933519054 55.9220609251349, 21.0636236447662 55.9243037896632, 21.0596290504769 55.9242084322003, 21.0597989876721 55.9219655756683))",62500.0
29,4.64,"POLYGON((21.0596290504769 55.9242084322003, 21.0636236447662 55.9243037896632, 21.063453913531 55.9265466530288, 21.0594590891533 55.9264512875687, 21.0596290504769 55.9242084322003))",62500.0
3,0.48,"POLYGON((21.1015380837569 55.4151437985213, 21.1054813006107 55.4152372370934, 21.1053171441311 55.4174803711191, 21.1013737044093 55.4173869247647, 21.1015380837569 55.4151437985213))",62500.0
3,0.48,"POLYGON((21.0747728537085 55.7762722389249, 21.0787523575595 55.7763669418943, 21.0785844346201 55.7786098898315, 21.0746047028093 55.778515178936, 21.0747728537085 55.7762722389249))",62500.0
3,0.48,"POLYGON((21.0681972951723 55.863746039451, 21.0721857133165 55.8638410522126, 21.0720168602479 55.8660839549164, 21.0680282128866 55.8659889341933, 21.0681972951723 55.863746039451))",62500.0
34,5.44,"POLYGON((21.0676899763868 55.870474720193, 21.0716790822797 55.8705697568422, 21.0715101573707 55.872812656064, 21.0675208221636 55.8727176114505, 21.0676899763868 55.870474720193))",62500.0
6,0.9600000037499996,"POLYGON((21.0675208221636 55.8727176114505, 21.0715101573707 55.872812656064, 21.0713412085056 55.875055554125, 21.0673516439519 55.8749605015462, 21.0675208221636 55.8727176114505))",62499.9997558594
5,0.7999999968750003,"POLYGON((21.0670132155444 55.8794462782525, 21.0710032388886 55.8795413467646, 21.0708342181274 55.8817842413431, 21.0668439653393 55.8816891648629, 21.0670132155444 55.8794462782525))",62500.0002441406
19,3.04,"POLYGON((21.0668439653393 55.8816891648629, 21.0708342181274 55.8817842413431, 21.0706651733914 55.8840271347606, 21.0666746911271 55.8839320503115, 21.0668439653393 55.8816891648629))",62500.0
47,7.520000029374997,"POLYGON((21.0666746911271 55.8839320503115, 21.0706651733914 55.8840271347606, 21.0704961046761 55.8862700270172, 21.0665053929031 55.8861749345983, 21.0666746911271 55.8839320503115))",62499.9997558594
7,1.12,"POLYGON((21.0665053929031 55.8861749345983, 21.0704961046761 55.8862700270172, 21.0703270119767 55.8885129181128, 21.0663360706627 55.888417817723, 21.0665053929031 55.8861749345983))",62500.0
43,6.88,"POLYGON((21.0663360706627 55.888417817723, 21.0703270119767 55.8885129181128, 21.0701578952887 55.8907558080473, 21.0661667244011 55.8906606996858, 21.0663360706627 55.888417817723))",62500.0
37,5.92,"POLYGON((21.0651501421268 55.904117967059, 21.0691426911366 55.9042131232698, 21.0689734063971 55.9064560050758, 21.0649806275866 55.9063608408868, 21.0651501421268 55.904117967059))",62500.0
21,3.36,"POLYGON((21.0649806275866 55.9063608408868, 21.0689734063971 55.9064560050758, 21.0688040976315 55.9086988857204, 21.064811088988 55.9086037135523, 21.0649806275866 55.9063608408868))",62500.0
68,10.880000042499995,"POLYGON((21.064811088988 55.9086037135523, 21.0688040976315 55.9086988857204, 21.0686347648353 55.9109417652035, 21.0646415263261 55.9108465850555, 21.064811088988 55.9086037135523))",62499.9997558594
119,19.04,"POLYGON((21.0646415263261 55.9108465850555, 21.0686347648353 55.9109417652035, 21.0684654080037 55.9131846435252, 21.0644719395964 55.9130894553964, 21.0646415263261 55.9108465850555))",62500.0
98,15.68,"POLYGON((21.0644719395964 55.9130894553964, 21.0684654080037 55.9131846435252, 21.068296027132 55.9154275206853, 21.0643023287942 55.9153323245747, 21.0644719395964 55.9130894553964))",62500.0
35,5.599999978125002,"POLYGON((21.0643023287942 55.9153323245747, 21.068296027132 55.9154275206853, 21.0681266222157 55.917670396684, 21.0641326939147 55.9175751925907, 21.0643023287942 55.9153323245747))",62500.0002441406
170,27.2,"POLYGON((21.0641326939147 55.9175751925907, 21.0681266222157 55.917670396684, 21.0679571932499 55.919913271521, 21.0639630349534 55.9198180594441, 21.0641326939147 55.9175751925907))",62500.0
146,23.36000009124999,"POLYGON((21.0639630349534 55.9198180594441, 21.0679571932499 55.919913271521, 21.0677877402301 55.9221561451964, 21.0637933519054 55.9220609251349, 21.0639630349534 55.9198180594441))",62499.9997558594
101,16.16,"POLYGON((21.0637933519054 55.9220609251349, 21.0677877402301 55.9221561451964, 21.0676182631514 55.9243990177101, 21.0636236447662 55.9243037896632, 21.0637933519054 55.9220609251349))",62500.0
87,13.92,"POLYGON((21.0636236447662 55.9243037896632, 21.0676182631514 55.9243990177101, 21.0674487620094 55.9266418890622, 21.063453913531 55.9265466530288, 21.0636236447662 55.9243037896632))",62500.0
7,1.1199999956250004,"POLYGON((21.063453913531 55.9265466530288, 21.0674487620094 55.9266418890622, 21.0672792367992 55.9288847592524, 21.0632841581951 55.9287895152318, 21.063453913531 55.9265466530288))",62500.0002441406
17,2.72,"POLYGON((21.0632841581951 55.9287895152318, 21.0672792367992 55.9288847592524, 21.0671096875163 55.9311276282809, 21.063114378754 55.931032376272, 21.0632841581951 55.9287895152318))",62500.0
28,4.48,"POLYGON((21.0967491596229 55.5341217511381, 21.1007042548077 55.5342154758353, 21.1005390958339 55.5364585565334, 21.0965837761176 55.5363648240176, 21.0967491596229 55.5341217511381))",62500.0
